Date,Open,High,Low,Close,Adj Close,Volume
2021-04-26,61.349998,61.419998,60.439999,60.540001,58.660461,4074200
2021-04-27,60.419998,60.750000,60.139999,60.540001,58.660461,3804100
2021-04-28,60.900002,61.340000,60.529999,60.799999,58.912388,2747700
2021-04-29,60.869999,61.660000,60.799999,61.430000,59.522831,3489000
2021-04-30,61.520000,61.619999,60.619999,60.860001,58.970524,4829000
2021-05-03,60.860001,62.029999,60.860001,61.599998,59.687550,3128400
2021-05-04,61.820000,62.259998,61.330002,61.799999,59.881340,3528500
2021-05-05,61.660000,61.910000,60.990002,61.830002,59.910416,2877100
2021-05-06,62.500000,64.239998,62.389999,63.639999,61.664215,7476900
2021-05-07,63.349998,63.680000,62.400002,63.049999,61.092533,3574900
2021-05-10,63.180000,64.139999,63.160000,63.830002,61.848316,2431600
2021-05-11,64.059998,64.300003,62.820000,63.110001,61.150669,3651800
2021-05-12,63.189999,63.639999,62.750000,62.959999,61.005325,3365600
2021-05-13,62.689999,64.650002,62.439999,63.980000,61.993660,5330900
2021-05-14,64.129997,64.650002,63.369999,63.400002,61.431671,3233300
2021-05-17,63.099998,63.610001,62.540001,62.790001,60.840611,4006400
2021-05-18,62.700001,63.169998,62.330002,62.930000,60.976257,3116100
2021-05-19,62.740002,63.040001,62.169998,62.599998,60.656502,2743100
2021-05-20,62.700001,63.380001,62.389999,62.900002,60.947193,3202100
2021-05-21,63.060001,63.880001,62.950001,63.130001,61.170048,2701000
2021-05-24,63.279999,63.639999,63.040001,63.049999,61.092533,1816300
2021-05-25,63.049999,63.200001,62.320000,62.849998,60.898746,2596100
2021-05-26,62.840000,63.099998,62.639999,62.830002,60.879368,2876800
2021-05-27,62.840000,63.410000,62.200001,62.279999,60.346439,3535400
2021-05-28,62.450001,63.259998,62.419998,62.860001,60.908436,2934400
2021-06-01,63.160000,63.400002,62.470001,62.660000,60.714645,3239600
2021-06-02,62.799999,63.869999,62.570000,63.490002,61.518875,5019700
2021-06-03,63.439999,63.930000,63.119999,63.799999,61.819248,4176900
2021-06-04,63.799999,64.400002,63.709999,64.029999,62.042107,4104500
2021-06-07,64.129997,64.180000,63.330002,63.720001,61.741737,3493200
